country,chocolate_kg_per_person,nobel_per_10m,gdp_per_capita_usd
Switzerland,11.9,31.9,83000
Sweden,6.4,31.9,57000
Denmark,8.5,25.3,58000
Austria,8.8,24.3,48000
Norway,9.2,23.4,100000
United Kingdom,9.7,18.9,41000
Ireland,8.8,12.7,48000
Germany,11.6,12.7,44000
United States,5.3,10.8,51000
France,6.3,9.0,41000
Netherlands,4.5,11.4,49000
Finland,7.3,7.6,47000
Belgium,4.4,8.6,44000
Canada,3.9,6.1,52000
Australia,4.8,5.5,68000
Italy,3.7,3.1,35000
Poland,3.6,3.1,13000
Portugal,2.0,1.9,20000
Greece,2.5,1.9,22000
Spain,3.6,1.7,28000
Japan,1.8,1.5,47000
China,0.7,0.1,6000
Brazil,2.9,0.1,12000
